Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell
ENSG00000172757,CFL1,-144.41954696016859,3.2271746944644142,183.73957227549434,5.6656934306569342,-225.14410532077483,1.8971428571428572,-0.48316994029888294,2.0,5.5752702067509414,3.8181818181818183,180.73197973899062,5.9618320610687023
ENSG00000172803,SNX32,2.6327872419544889,0.00071890726096333576,14.268235900561617,0.0014598540145985401,-9.4797405446802117,0.0,-0.027084972984800549,0.0,-0.2979347028328061,0.0,-7.0962629220177575,0.0
ENSG00000172732,MUS81,16.115694284998249,0.042415528396836807,-68.704987312503292,0.023357664233576641,13.648393664362796,0.042857142857142858,-0.19296614508823415,0.0,-2.1226275959705752,0.0,41.256493104199734,0.068702290076335881
ENSG00000172638,EFEMP2,17.281099824502057,0.0014378145219266715,3.4514047486611337,0.0014598540145985401,-11.628808654818817,0.0,-0.033225167585196502,0.0,-0.36547684343716152,0.0,-8.7049939073214713,0.0
ENSG00000172543,CTSW,1.7807279303237233,0.63191948238677209,-336.22101508856224,0.075912408759124084,-164.9773047671481,0.085714285714285715,-0.55886115708509299,0.0,-5.7734541953184406,0.090909090909090912,505.74990727778891,3.8893129770992365
ENSG00000172500,FIBP,-173.66548762271771,0.13299784327821712,200.73407108007314,0.38394160583941606,-52.08303374139107,0.10857142857142857,-0.42233430700721519,0.0,0.55128653320445675,0.18181818181818182,24.885498057834425,0.27099236641221375
ENSG00000175602,CCDC85B,-24.131675100540264,0.46010064701653486,-9.9489255261251799,0.55182481751824819,-21.511708471598688,0.49142857142857144,1.8791701052735448,2.0,1.6928049664147777,0.54545454545454541,52.020334026575227,0.5725190839694656
ENSG00000175592,FOSL1,-25.799224083982537,0.00071890726096333576,50.959392544476195,0.0058394160583941602,-14.112273976238077,0.0,-0.04032078278925183,0.0,-0.44352861068177013,0.0,-10.56404509078394,0.0
ENSG00000175573,C11orf68,-4.5635549947841065,0.012221423436376708,-10.35711850786427,0.014598540145985401,12.133374854287929,0.017142857142857144,-0.10939932023076662,0.0,-1.2033925225384328,0.0,4.1000904911295279,0.011450381679389313
ENSG00000175550,DRAP1,-192.19397397307642,0.55499640546369522,159.27911569734644,1.3182481751824817,-54.455684707689301,0.62,1.3154287586530971,2.0,-7.409983346202468,0.45454545454545453,93.465097570970556,1.0916030534351144
