Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell
ENSG00000145741,BTF3,96.743409849906229,2.9814385150812064,-5.9390205413998158,3.4744525547445257,-74.529799169404683,2.3727598566308243,-16.274590139112512,0.58333333333333337
ENSG00000164331,ANKRA2,44.426854803399742,0.047563805104408351,-51.601467498746615,0.027737226277372264,9.4013374007566828,0.043010752688172046,-2.2267247054058781,0.0
ENSG00000164338,UTP15,51.328806562686694,0.015081206496519721,-47.328564097779456,0.0058394160583941602,-2.7319856034467174,0.010752688172043012,-1.2682568614624936,0.0
ENSG00000171617,ENC1,-75.788779294251427,0.00058004640371229696,75.113967400010267,0.010218978102189781,1.3250438347133011,0.0035842293906810036,-0.65023194046898025,0.0
ENSG00000049860,HEXB,-169.04131469534812,0.072505800464037123,120.52354777664397,0.21021897810218979,51.389693569699929,0.17204301075268819,-2.8719266509955022,0.083333333333333329
ENSG00000164347,GFM2,-22.287915080073063,0.0098607888631090483,-47.418014862518262,0.0043795620437956208,70.933750342920817,0.035842293906810034,-1.2278204003283617,0.0
ENSG00000164346,NSA2,103.23048014684889,0.33874709976798145,-83.210457165044701,0.24233576642335766,-18.36783886916103,0.22580645161290322,-1.6521841126447943,0.083333333333333329
ENSG00000198780,FAM169A,45.329644458215526,0.0081206496519721574,-38.008088337772705,0.0014598540145985401,-6.4214888191318691,0.0035842293906810036,-0.90006730130981039,0.0
ENSG00000176928,GCNT4,36.415414532464617,0.0023201856148491878,-25.557949748706946,0.0,-10.409734277210573,0.0,-0.44773050654669283,0.0
ENSG00000250889,RP11-229C3.2,-9.8998864582897497,0.00058004640371229696,-18.649695813254162,0.0,28.876292271192401,0.0035842293906810036,-0.32670999964824882,0.0
