Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell
ENSG00000184831,APOO,-34.180093419561118,0.017241379310344827,34.180093419561828,0.023952095808383235
ENSG00000174010,KLHL15,51.82030463964729,0.011494252873563218,-51.820304639650587,0.0039920159680638719
ENSG00000130741,EIF2S3,-58.7658508467212,0.26293103448275862,58.7658508467225,0.26746506986027946
ENSG00000005889,ZFX,3.0116585056355558,0.020114942528735632,-3.0116585056346836,0.020459081836327345
ENSG00000067992,PDK3,-15.765507386730565,0.02442528735632184,15.76550738672972,0.024950099800399202
ENSG00000102230,PCYT1B,38.57414200304077,0.0028735632183908046,-38.574142003037501,0.0
ENSG00000101868,POLA1,23.311992262835616,0.0028735632183908046,-23.311992262835989,0.0024950099800399202
ENSG00000120280,CXorf21,106.50311359050671,0.040229885057471264,-106.50311359050195,0.0079840319361277438
ENSG00000198814,GK,102.84518112777354,0.038793103448275863,-102.8451811277822,0.0084830339321357289
ENSG00000243055,GK-AS1,-13.397007402255076,0.0,13.397007402253564,0.00049900199600798399
ENSG00000157625,TAB3,51.385353781367499,0.017241379310344827,-51.385353781365772,0.0054890219560878245
ENSG00000198947,DMD,-10.55241017526504,0.0014367816091954023,10.552410175266608,0.0014970059880239522
ENSG00000147036,LANCL3,-18.830539054895301,0.0,18.830539054894139,0.00099800399201596798
ENSG00000047597,XK,-13.397007402254273,0.0,13.397007402252946,0.00049900199600798399
ENSG00000165168,CYBB,419.13133832141381,0.42816091954022989,-419.13133832140159,0.037425149700598799
ENSG00000165169,DYNLT3,-123.79463039924418,0.047413793103448273,123.79463039924713,0.1187624750499002
ENSG00000101955,SRPX,38.574142003038936,0.0014367816091954023,-38.57414200304023,0.0
ENSG00000156313,RPGR,-6.3534118450258461,0.010057471264367816,6.353411845024965,0.011976047904191617
ENSG00000156298,TSPAN7,-14.789227590087874,0.0014367816091954023,14.789227590088515,0.0014970059880239522
ENSG00000165175,MID1IP1,115.95286431872044,0.30747126436781608,-115.95286431872483,0.11427145708582834
ENSG00000235304,RP11-265P11.2,-23.01657510755474,0.0,23.016575107554669,0.0014970059880239522
ENSG00000183337,BCOR,0.60106279362030635,0.015804597701149427,-0.60106279361983639,0.010978043912175649
ENSG00000182220,ATP6AP2,68.207144793029386,0.41810344827586204,-68.207144793028931,0.26696606786427146
ENSG00000185753,CXorf38,83.744241446220158,0.041666666666666664,-83.74424144621338,0.014970059880239521
ENSG00000180182,MED14,-11.526526342126759,0.012931034482758621,11.526526342126607,0.011477045908183632
ENSG00000234636,MED14-AS1,46.577288879953976,0.020114942528735632,-46.577288879955226,0.0074850299401197605
ENSG00000124486,USP9X,-7.4905071349111694,0.038793103448275863,7.4905071349129706,0.032435129740518959
ENSG00000215301,DDX3X,-50.91505107344183,0.11206896551724138,50.91505107344247,0.10479041916167664
ENSG00000147044,CASK,-31.622738441806558,0.0028735632183908046,31.622738441806362,0.0069860279441117763
ENSG00000171659,GPR34,103.33577175743385,0.012931034482758621,-103.3357717574379,0.0
ENSG00000171657,GPR82,-71.748356017311508,0.010057471264367816,71.748356017310016,0.029441117764471059
ENSG00000183690,EFHC2,-21.572375268011626,0.0028735632183908046,21.57237526801341,0.0034930139720558881
ENSG00000069509,FUNDC1,-68.869968994224308,0.018678160919540231,68.869968994225175,0.039920159680638723
ENSG00000147050,KDM6A,-16.404500205349208,0.011494252873563218,16.404500205349429,0.010978043912175649
ENSG00000229563,RP11-245M24.1,-13.397007402254221,0.0,13.397007402252108,0.00049900199600798399
ENSG00000270069,RP6-99M1.2,-14.496242252619874,0.0028735632183908046,14.496242252620577,0.0034930139720558881
ENSG00000231566,RP5-1158E12.3,-13.397007402254205,0.0,13.397007402252502,0.00049900199600798399
ENSG00000147121,KRBOX4,-59.736399805204726,0.018678160919540231,59.736399805207313,0.05439121756487026
ENSG00000251192,ZNF674,-7.6734932212070506,0.0014367816091954023,7.6734932212076501,0.0014970059880239522
ENSG00000230844,ZNF674-AS1,4.7325964312733504,0.0086206896551724137,-4.7325964312728317,0.0054890219560878245
ENSG00000147119,CHST7,109.97941035576653,0.048850574712643681,-109.97941035575676,0.010978043912175649
ENSG00000065923,SLC9A7,24.853746358943372,0.0043103448275862068,-24.85374635894172,0.0024950099800399202
ENSG00000102218,RP2,84.707550831131343,0.053160919540229883,-84.707550831131115,0.018463073852295408
ENSG00000102221,JADE3,-3.2355988370277151,0.0014367816091954023,3.2355988370272968,0.00049900199600798399
ENSG00000147123,NDUFB11,118.3881600563721,0.75574712643678166,-118.38816005637327,0.5174650698602794
ENSG00000182872,RBM10,0.18197249675077476,0.043103448275862072,-0.18197249675004734,0.040918163672654689
ENSG00000130985,UBA1,14.982815145590749,0.079022988505747127,-14.982815145591307,0.05738522954091816
ENSG00000102225,CDK16,18.038268211165342,0.043103448275862072,-18.038268211165985,0.032435129740518959
ENSG00000102226,USP11,-73.551644786089724,0.02442528735632184,73.551644786092609,0.050399201596806387
ENSG00000147117,ZNF157,-18.778305165794027,0.0,18.778305165794119,0.00099800399201596798
ENSG00000147124,ZNF41,0.92567924632913168,0.0043103448275862068,-0.92567924632976528,0.0044910179640718561
ENSG00000196741,CXorf24,-19.332498849807177,0.011494252873563218,19.332498849807632,0.012475049900199601
ENSG00000078061,ARAF,11.878015067717534,0.096264367816091947,-11.878015067716268,0.066866267465069865
ENSG00000008056,SYN1,-13.397007402253925,0.0,13.397007402254498,0.00049900199600798399
ENSG00000102265,TIMP1,621.44942489347227,2.360632183908046,-621.44942489347079,0.26946107784431139
ENSG00000126759,CFP,770.29842112842948,1.6451149425287357,-770.29842112840856,0.045409181636726546
ENSG00000126767,ELK1,32.04335553187687,0.037356321839080463,-32.043355531876507,0.020459081836327345
ENSG00000126756,UXT,-137.23870375031225,0.46982758620689657,137.23870375031149,0.6457085828343313
ENSG00000267064,UXT-AS1,-5.2421924584017843,0.0014367816091954023,5.2421924584009041,0.00099800399201596798
ENSG00000197779,ZNF81,54.614722003970115,0.011494252873563218,-54.614722003972318,0.0039920159680638719
ENSG00000147118,ZNF182,-8.8882912965303422,0.010057471264367816,8.8882912965308414,0.0079840319361277438
ENSG00000221994,ZNF630,1.731192075658281,0.0043103448275862068,-1.7311920756576047,0.0024950099800399202
ENSG00000017483,SLC38A5,-76.07564726787156,0.0071839080459770114,76.075647267875695,0.025449101796407185
ENSG00000068438,FTSJ1,-54.088720804438722,0.035919540229885055,54.088720804440158,0.044910179640718563
ENSG00000224292,AF196972.9,-13.397007402254133,0.0,13.397007402253411,0.00049900199600798399
ENSG00000102312,PORCN,0.70545149346402525,0.012931034482758621,-0.70545149346254588,0.010479041916167664
ENSG00000147155,EBP,-90.105169853573244,0.090517241379310345,90.105169853577053,0.1372255489021956
ENSG00000068354,TBC1D25,-22.306758716972805,0.017241379310344827,22.306758716973643,0.022455089820359281
ENSG00000204620,AC115618.1,19.428760071853489,0.010057471264367816,-19.428760071853826,0.0054890219560878245
ENSG00000102317,RBM3,79.2936177847576,1.7801724137931034,-79.293617784756435,1.2230538922155689
ENSG00000101940,WDR13,115.19817966377799,0.14224137931034483,-115.19817966378538,0.053892215568862277
ENSG00000015285,WAS,120.29509631666728,0.40373563218390807,-120.2950963166671,0.20459081836327345
ENSG00000101945,SUV39H1,-39.124748321806841,0.0043103448275862068,39.124748321807161,0.0099800399201596807
ENSG00000232828,AF196970.3,-13.397007402254182,0.0,13.397007402255614,0.00049900199600798399
