Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell,Cluster 7 Weight,Cluster 7 UMI counts/cell
ENSG00000138964,PARVG,218.95678805839898,0.34890510948905107,-213.27654201646118,0.10711718188353703,-15.216225375791065,0.15151515151515152,-3.9582156076189183,0.0,-0.39582156076189184,0.0,14.285838062988368,0.16379310344827586,-0.39582156076189184,0.0
ENSG00000188636,LDOC1L,5.7963542257213323,0.016058394160583942,-8.3483327575069861,0.0079079798705966927,20.000576321423843,0.015151515151515152,-0.83053266173277907,0.0,-0.083053266173277907,0.0,-16.45195859555859,0.0028735632183908046,-0.083053266173277907,0.0
ENSG00000186654,PRR5,-94.929059117941151,0.035036496350364967,20.10249499102331,0.072609633357296907,126.10249835550769,0.37878787878787878,-2.2552629034080556,0.0,-0.22552629034080554,0.0,-48.569618744500282,0.022988505747126436,-0.22552629034080554,0.0
ENSG00000241484,ARHGAP8,-17.825160675125627,0.0,-11.874579548514285,0.00071890726096333576,39.067707877719464,0.003787878787878788,-0.2602213237244585,0.0,-0.026022132372445848,0.0,-9.0557020656111415,0.0,-0.026022132372445848,0.0
ENSG00000226328,CTA-217C2.1,120.91738817273271,0.055474452554744529,-71.182528328121421,0.0079079798705966927,-19.87925707853373,0.003787878787878788,-1.0945918794276046,0.0,-0.10945918794276049,0.0,-28.542092510765659,0.0057471264367816091,-0.10945918794276049,0.0
ENSG00000273243,CTA-217C2.2,9.0674325380122447,0.0014598540145985401,7.4564654832244539,0.00071890726096333576,-6.990879932061401,0.0,-0.26480605803262747,0.0,-0.026480605803262745,0.0,-9.2152508195354876,0.0,-0.026480605803262745,0.0
ENSG00000093000,NUP50,-7.1587457745551966,0.042335766423357665,14.764471646376823,0.038102084831056794,18.650756565859986,0.04924242424242424,-1.852631661510034,0.0,-0.18526316615100344,0.0,-24.033324443868914,0.017241379310344827,-0.18526316615100344,0.0
ENSG00000100364,KIAA0930,250.88613272691543,0.13284671532846715,-178.04997436081325,0.010783608914450037,-42.29184371973269,0.003787878787878788,-1.8294301223637159,0.0,-0.18294301223637163,0.0,-28.34899849952302,0.040229885057471264,-0.18294301223637163,0.0
ENSG00000273287,CTA-268H5.14,38.785876315434209,0.0014598540145985401,-26.774766230655594,0.0,-5.0816234974067731,0.0,-0.19248573853813619,0.0,-0.019248573853813618,0.0,-6.698503701127108,0.0,-0.019248573853813618,0.0
ENSG00000100373,UPK3A,193.02247935633304,0.055474452554744529,-141.34474997888012,0.0,-26.826034503539653,0.0,-1.0161376705886302,0.0,-0.10161376705886299,0.0,-23.63232966920885,0.0057471264367816091,-0.10161376705886299,0.0
